,Year,Country,Population
820,1966,BIH,3586636.0
821,1966,GUM,76607.0
822,1966,SVK,4411666.0
823,1966,THA,32789130.0
824,1966,TLS,529327.0
825,1966,GAB,543112.0
826,1966,SMR,17918.0
827,1966,LAO,2439196.0
828,1966,KOR,29435571.0
829,1966,PRK,12864954.0
830,1966,MOZ,8225921.0
831,1966,SEN,3789383.0
832,1966,CPV,238655.0
833,1966,CZE,9821040.0
834,1966,BOL,4122517.0
835,1966,AND,19647.0
836,1966,HKG,3629900.0
837,1966,LCA,97715.0
838,1966,FSM,54192.0
839,1966,COD,17862049.0
840,1966,MLI,5635859.0
841,1966,STP,66183.0
842,1966,MKD,1617795.0
843,1966,LIE,19152.0
844,1966,MNE,526419.0
845,1966,ALB,1914573.0
846,1966,SWZ,383826.0
847,1966,BDI,3170490.0
848,1966,NRU,6067.0
849,1966,VNM,38958048.0
850,1966,MHL,17842.0
851,1966,KIR,47434.0
852,1966,TUV,5438.0
853,1966,SSD,3199343.0
854,1967,CHN,754550000.0
855,1967,FIN,4605744.0
856,1967,ROU,19534242.0
857,1967,NOR,3784539.0
858,1967,EST,1318946.0
859,1967,FRA,50775794.0
860,1967,ESP,32682947.0
861,1967,EGY,32056510.0
862,1967,ITA,52900500.0
863,1967,AZE,4843868.0
864,1967,RUS,128196000.0
865,1967,ARG,22828869.0
866,1967,CUB,8266380.0
867,1967,BLR,8785648.0
868,1967,CMR,6052420.0
869,1967,MEX,46956208.0
870,1967,USA,198712000.0
871,1967,HUN,10216604.0
872,1967,BRN,112448.0
873,1967,PAK,53655789.0
874,1967,IRQ,8947404.0
875,1967,QAT,86302.0
876,1967,CAN,20412000.0
877,1967,IRL,2902450.0
878,1967,AUS,11799000.0
879,1967,MAR,14954031.0
880,1967,ERI,1210302
881,1967,JOR,1378998.0
882,1967,TUN,4740511.0
883,1967,BEL,9580991.0
884,1967,DJI,131397.0
885,1967,COM,215897.0
886,1967,KAZ,12385710.0
887,1967,MDV,107478.0
888,1967,ETH,26280132.0
889,1967,UZB,10889509.0
890,1967,KGZ,2736500.0
891,1967,TJK,2662253.0
892,1967,JPN,100725000.0
893,1967,BRA,88035814.0
894,1967,ISR,2745000.0
895,1967,SWE,7867931.0
896,1967,TUR,32477992.0
897,1967,ARM,2339127.0
898,1967,CIV,4544164.0
899,1967,KEN,10187478.0
900,1967,BEN,2735307.0
901,1967,GHA,8132803.0
902,1967,SOM,3227841.0
903,1967,SYR,5740710.0
904,1967,GBR,54943600.0
905,1967,CHI,117474.0
906,1967,IND,520400576.0
907,1967,POL,31987155.0
908,1967,PAN,1393825.0
909,1967,GEO,4005800.0
910,1967,GUY,675871.0
911,1967,VEN,10359745.0
912,1967,COL,19837510.0
913,1967,PER,12386879.0
914,1967,UGA,8550443.0
915,1967,NZL,2724100.0
916,1967,ECU,5560012.0
917,1967,TKM,2011764.0
918,1967,TTO,925235.0
919,1967,DOM,4123092.0
920,1967,JAM,1803319.0
921,1967,LBR,1303035.0
922,1967,SUR,347660.0
923,1967,PLW,11326.0
924,1967,LTU,3044400.0
925,1967,NAM,753688.0
926,1967,UKR,46063228.0
927,1967,ISL,198751.0
928,1967,AUT,7376998.0
929,1967,RWA,3420895.0
930,1967,DMA,67686.0
931,1967,MLT,311550.0
932,1967,LUX,334995.0
933,1967,CYP,591308.0
934,1967,SGP,1977600.0
935,1967,SLE,2596805.0
936,1967,PNG,2596820.0
937,1967,AFG,10399926.0
938,1967,YEM,5907874.0
939,1967,MDA,2918000.0
940,1967,SRB,..
941,1967,CAF,1708302.0
942,1967,BIH,3632672.0
943,1967,GUM,78404.0
944,1967,SVK,4449367.0
945,1967,THA,33778799.0
946,1967,TLS,538909.0
947,1967,GAB,554059.0
948,1967,SMR,18307.0
949,1967,LAO,2496920.0
950,1967,KOR,30130983.0
951,1967,PRK,13222694.0
