,Year,Country,Population,GDP
551,1964,TKM,1833064.0,..
552,1964,TTO,902613.0,711893367.6
553,1964,DOM,3757132.0,1025599900
554,1964,JAM,1730738.0,897931401.4
555,1964,LBR,1217901.0,..
556,1964,SUR,320270.0,134400000.0
557,1964,PLW,10799.0,..
558,1964,LTU,2935200.0,..
559,1964,NAM,698796.0,..
560,1964,UKR,44796964.0,..
561,1964,ISL,188983.0,434267936.9
562,1964,AUT,7223801.0,9169983886.0
563,1964,RWA,3164263.0,129999994.0
564,1964,DMA,63926.0,..
565,1964,MLT,321250.0,..
566,1964,LUX,327750.0,903158753.9
567,1964,CYP,578625.0,..
568,1964,SGP,1841600.0,894159153.3
569,1964,SLE,2466667.0,371848114.7
570,1964,PNG,2434223.0,305312043.7
571,1964,AFG,9744781.0,800000044.4
572,1964,YEM,5641597.0,..
573,1964,MDA,2774000.0,..
574,1964,SRB,..,..
575,1964,CAF,1608616.0,142025069.5
576,1964,BIH,3478997.0,..
577,1964,GUM,73051.0,..
578,1964,SVK,4327341.0,..
579,1964,THA,30881138.0,3889129942.0
580,1964,TLS,510034.0,..
581,1964,GAB,524895.0,215679855.3
582,1964,SMR,17099.0,..
583,1964,LAO,2327137.0,..
584,1964,KOR,27984155.0,3458565257.0
585,1964,PRK,12282419.0,..
586,1964,MOZ,7857104.0,..
587,1964,SEN,3580239.0,1188930568
588,1964,CPV,222948.0,..
589,1964,CZE,9727804.0,..
590,1964,BOL,3957757.0,539491477.3
591,1964,AND,17469.0,..
592,1964,HKG,3504600.0,2206466461.0
593,1964,LCA,94636.0,..
594,1964,FSM,50468.0,..
595,1964,COD,16903831.0,2881545273
596,1964,MLI,5503752.0,..
597,1964,STP,64277.0,..
598,1964,MKD,1569142.0,..
599,1964,LIE,18168.0,..
600,1964,MNE,521753.0,..
601,1964,ALB,1814135.0,..
602,1964,SWZ,365122.0,64979280.41
603,1964,BDI,3026290.0,260750008.0
604,1964,NRU,5592.0,..
605,1964,VNM,36779999.0,..
606,1964,MHL,16710.0,..
607,1964,KIR,45399.0,..
608,1964,TUV,5356.0,..
609,1964,SSD,3069739.0,..
610,1965,CHN,715185000.0,70436266147.0
611,1965,FIN,4563732.0,8589340019.0
612,1965,ROU,19031576.0,..
